 (3.989422804014327E-01+0.000000000000000E+00j)  (-3.989422804014327E-01+4.885633867381604E-17j)  (-3.989422804014327E-01+-4.885633867381604E-17j)  (3.989422804014327E-01+-9.771267734763208E-17j)  (3.989422804014327E-01+9.771267734763208E-17j)
 (3.989422804014327E-01+0.000000000000000E+00j)  (-3.989403117018087E-01+1.253312075697368E-03j)  (-3.989403117018087E-01+-1.253312075697368E-03j)  (3.989344056223669E-01+-2.506611781710531E-03j)  (3.989344056223669E-01+2.506611781710531E-03j)
 (3.989422804014327E-01+0.000000000000000E+00j)  (-3.989344056223669E-01+2.506611781710659E-03j)  (-3.989344056223669E-01+-2.506611781710659E-03j)  (3.989107815960522E-01+-5.013124606680183E-03j)  (3.989107815960522E-01+5.013124606680183E-03j)
 (3.989422804014327E-01+0.000000000000000E+00j)  (-3.989245622213979E-01+3.759886748477448E-03j)  (-3.989245622213979E-01+-3.759886748477448E-03j)  (3.988714092551248E-01+-7.519439522073854E-03j)  (3.988714092551248E-01+7.519439522073854E-03j)
 (3.989422804014327E-01+0.000000000000000E+00j)  (-3.989107815960522E-01+5.013124606680134E-03j)  (-3.989107815960522E-01+-5.013124606680134E-03j)  (3.988162901539372E-01+-1.002545758287089E-02j)  (3.988162901539372E-01+1.002545758287089E-02j)
 (3.989422804014327E-01+0.000000000000000E+00j)  (-3.988930638823389E-01+6.266312987366656E-03j)  (-3.988930638823389E-01+-6.266312987366656E-03j)  (3.987454264684972E-01+-1.253107985576853E-02j)  (3.987454264684972E-01+1.253107985576853E-02j)
 (3.989422804014327E-01+0.000000000000000E+00j)  (-3.988714092551248E-01+7.519439522073981E-03j)  (-3.988714092551248E-01+-7.519439522073981E-03j)  (3.986588209963818E-01+-1.503620742309047E-02j)  (3.986588209963818E-01+1.503620742309047E-02j)
 (3.989422804014327E-01+0.000000000000000E+00j)  (-3.988458179281322E-01+8.772491842948768E-03j)  (-3.988458179281322E-01+-8.772491842948768E-03j)  (3.985564771566267E-01+-1.754074138668910E-02j)  (3.985564771566267E-01+1.754074138668910E-02j)
 (3.989422804014327E-01+0.000000000000000E+00j)  (-3.988162901539372E-01+1.002545758287084E-02j)  (-3.988162901539372E-01+-1.002545758287084E-02j)  (3.984383989895914E-01+-2.004458287185270E-02j)  (3.984383989895914E-01+2.004458287185270E-02j)
 (3.989422804014327E-01+0.000000000000000E+00j)  (-3.987828262239670E-01+1.127832437557383E-02j)  (-3.987828262239670E-01+-1.127832437557383E-02j)  (3.983045911567998E-01+-2.254763303120598E-02j)  (3.983045911567998E-01+2.254763303120598E-02j)
